"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2854743,"March 16, 2024","New Jersey",Trenton,"Phillips Ave and Martin Luther King Jr Blvd",0,1,0,0,0,N/A
2854729,"March 16, 2024",California,"San Marcos","San Elijo Rd and Questhaven Rd",0,1,0,0,0,N/A
2854735,"March 16, 2024",Michigan,"Grand Rapids","Hamilton Ave NW and Leonard St NW",0,1,0,0,0,N/A
2854717,"March 16, 2024",California,Oakland,"800 block of International Blvd",0,1,0,0,0,N/A
2854703,"March 16, 2024",Vermont,Burlington,"Main St and Church St",0,1,0,0,0,N/A
2854695,"March 16, 2024",Connecticut,Bridgeport,"2458 Main St",1,0,0,0,0,N/A
2854679,"March 16, 2024",Connecticut,"New Haven","Lancraft St and Fairmount Ave",1,0,0,0,0,N/A
2854692,"March 16, 2024",Connecticut,"East Hartford","775 Silver Ln",1,0,0,0,0,N/A
2854634,"March 16, 2024",Pennsylvania,Levittown,"Viewpoint Ln",3,0,0,0,0,N/A
2854660,"March 16, 2024",Illinois,Chicago,"2200 block of S Pulaski Rd",0,1,0,0,0,N/A
2854650,"March 16, 2024","New York",Brooklyn,"8906 Ditmas Ave",1,0,0,0,0,N/A
2854648,"March 16, 2024","New York","Corona (Queens)","71-15 Beach Channel Dr",0,1,0,0,0,N/A
2854646,"March 16, 2024","New York","Staten Island","701 Bay St",0,1,0,0,0,N/A
2854643,"March 16, 2024","New York","New York (Manhattan)","E 10th St",0,2,0,0,0,N/A
2854639,"March 16, 2024",Kansas,Wichita,"800 block of S Beverly St",0,1,0,0,0,N/A
2854626,"March 16, 2024",Illinois,Chicago,N/A,0,1,0,0,0,N/A
2854624,"March 16, 2024",Illinois,Chicago,"2300 block of W 111th St",0,1,0,0,0,N/A
2854607,"March 16, 2024",Louisiana,Lafayette,"600 block of Patterson St",1,0,0,0,0,N/A
2854542,"March 16, 2024",Indiana,Indianapolis,"808 Broad Ripple Ave",1,5,0,0,0,N/A
2854440,"March 16, 2024",Texas,Houston,"4200 block of Twelve Oaks Pl",1,0,0,0,0,N/A
2854400,"March 15, 2024","West Virginia",Philippi,"26416 US-250",1,0,0,0,0,N/A
2854281,"March 15, 2024",Tennessee,Memphis,"3500 block of Millard Rd",2,1,0,0,0,N/A
2854361,"March 15, 2024",California,"Fair Oaks","8842 Winding Way",0,0,0,1,0,N/A
2854357,"March 15, 2024",California,Fresno,"54 E California Ave",0,1,0,0,0,N/A
2854344,"March 15, 2024",California,"Los Angeles","2626 S Manhattan Pl",0,1,0,0,1,N/A
2854339,"March 15, 2024",Idaho,Caldwell,"1500 block of Missoula Way",0,1,0,0,0,N/A
2854293,"March 15, 2024",Texas,"Canyon Lake","400 block of Deer Valley St",1,0,0,0,0,N/A
2854291,"March 15, 2024",Illinois,Chicago,"50 block of E 122nd Pl",0,1,0,0,0,N/A
2854276,"March 15, 2024",Illinois,Chicago,"4600 block of W Maypole Ave",0,1,0,0,0,N/A
2854247,"March 15, 2024",Illinois,Chicago,"5000 block of S Western Ave",1,1,0,0,0,N/A
2854224,"March 15, 2024",California,"El Centro","600 block of Yucca Dr",1,0,0,0,0,N/A
2854217,"March 15, 2024",Virginia,Richmond,"2900 block of Wicklow Ln",0,1,0,0,1,N/A
2854191,"March 15, 2024",California,Antioch,"2801 Roosevelt Ln",0,0,0,0,0,N/A
2854154,"March 15, 2024",Indiana,Griffith,"600 block of Colfax St",3,0,0,0,0,N/A
2854082,"March 15, 2024",Maryland,Baltimore,"3900 block of Edmondson Ave",0,1,0,0,0,N/A
2854074,"March 15, 2024",Maryland,Baltimore,N/A,0,1,0,0,0,N/A
2854066,"March 15, 2024",Maryland,Baltimore,"1000 block of Fulton Ave",1,0,0,0,0,N/A
2854054,"March 15, 2024",Connecticut,Hartford,"1000 block of Capitol Ave",0,1,0,0,0,N/A
2854048,"March 15, 2024",Maryland,Baltimore,"2000 block of Robb St",1,0,0,0,0,N/A
2853985,"March 15, 2024",Texas,Houston,"6100 Hermann Park Dr",0,0,0,1,0,N/A
2854002,"March 15, 2024",Virginia,Annandale,"3200 block of Woodburn Rd",1,0,0,0,1,N/A
2853987,"March 15, 2024",Georgia,Rome,"Lakeridge Cir",0,1,0,0,1,N/A
2854602,"March 15, 2024",California,Oakland,"1362 102nd Ave",1,0,0,0,1,N/A
2854697,"March 15, 2024",Massachusetts,Barnstable,"280 Winter St",0,1,0,0,1,N/A
2853781,"March 15, 2024","New Mexico",Tucumcari,"I-40 and CR AY",1,0,0,0,0,N/A
2854531,"March 15, 2024",Massachusetts,Boston,"42 Dabney St",0,1,0,0,0,N/A
2853953,"March 15, 2024",Pennsylvania,"Sharon Hill","800 block of Felton Ave",0,1,0,0,0,N/A
2854686,"March 15, 2024",Wisconsin,"Fish Creek","3924 WI-42",0,0,0,0,1,N/A
